step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57895.0,57,7972.0,99.65,2.111422035488394,0,5.0,0.6638323390303508,6,960.0,0.0,11,1707.0,0.0,0,0.0,1.0,1,159.0,0.49753936832387113,13,1007.0,0.05461474795301365,6,1285.0,0.0,37,5123.0
57900.0,62,8269.0,103.3625,1.9142331488087614,1,6.0,0.12465805025717354,6,990.0,0.0,11,1762.0,0.06126093207261349,0,0.0,1.0,1,164.0,0.0,14,1073.0,0.016768426506914656,6,1315.0,0.0,39,5310.0
57905.0,67,8583.0,108.64556962025317,1.392916747360518,4,20.0,0.00020557537409513375,6,1020.0,0.0,11,1817.0,0.0,0,0.0,1.0,1,169.0,0.0,15,1146.0,0.0007959645624380299,6,1345.0,0.0,43,5517.0
57910.0,65,8901.0,112.67088607594937,1.7144622328486696,4,40.0,0.0,6,1050.0,0.0,11,1872.0,0.0,0,0.0,1.0,1,174.0,0.4914470183687384,16,1226.0,0.027373733449182317,6,1375.0,0.0,44,5737.0
57915.0,67,9231.0,118.34615384615384,1.2212304016022628,4,60.0,0.0,6,1080.0,0.0,12,1938.0,0.000565655957932136,0,0.0,0.9691766340850769,1,179.0,0.38715250327504563,17,1310.0,0.0,6,1405.0,0.0,46,5972.0
57920.0,66,9499.0,118.7375,1.239451586253141,0,33.0,0.19174839468657534,6,1110.0,0.05284325046363013,12,1998.0,0.0,0,0.0,0.9732211060317089,1,184.0,0.2001781947842005,17,1395.0,0.0,6,1435.0,0.0,42,6155.0
57925.0,70,9837.0,121.44444444444444,1.3005759893066908,0,16.0,0.08765204489524069,7,1143.0,0.12104133530280131,12,2058.0,0.0,0,0.0,0.9909054640782134,1,189.0,0.0,17,1480.0,0.0,6,1465.0,0.0,43,6351.0
57930.0,70,10185.0,122.71084337349397,1.6032413196011785,1,19.0,0.49032355675025424,7,1178.0,0.11622900563506479,12,2118.0,0.0,0,0.0,0.9234939692349203,1,194.0,0.0,17,1565.0,0.0,6,1495.0,0.0,44,6569.0
57935.0,71,10537.0,122.52325581395348,1.7804919220533755,1,24.0,0.34471124300317313,7,1213.0,0.12205478939288822,12,2178.0,0.0,0,0.0,0.9131510727001629,1,199.0,0.0,17,1650.0,0.0,6,1525.0,0.0,44,6789.0
57940.0,71,10881.0,126.52325581395348,1.5594495336745517,0,0.0,0.36332934813130224,7,1248.0,0.12014962337231423,12,2238.0,0.0,0,0.0,0.9784816576515692,1,204.0,0.0,17,1735.0,0.0,6,1555.0,0.0,43,6980.0
57945.0,74,11247.0,127.80681818181819,1.6560260167187444,1,3.0,0.3158622793172191,7,1283.0,0.11755563947407285,12,2298.0,0.0,0,0.0,1.0,1,209.0,0.0,17,1820.0,0.051045406031303114,6,1585.0,0.0,44,7198.0
57950.0,75,11622.0,132.0681818181818,1.6730803819112978,2,13.0,0.3126239305226448,7,1318.0,0.11150371513632296,12,2358.0,0.0,0,0.0,1.0,1,214.0,0.0,17,1905.0,0.0,6,1615.0,0.0,45,7423.0
57955.0,73,11974.0,131.58241758241758,1.7343869775221967,0,0.0,1.0,7,1353.0,0.0,12,2418.0,0.0,0,0.0,1.0,1,219.0,0.23753073740546018,17,1990.0,0.053611285820060604,6,1645.0,0.1409453614385677,43,7625.0
57960.0,73,12339.0,132.67741935483872,2.3664267591848236,0,0.0,1.0,7,1388.0,0.0,12,2478.0,0.0,0,0.0,0.9608382733811693,1,224.0,0.0,17,2075.0,0.0,6,1675.0,0.13736148624578484,43,7840.0
57965.0,74,12704.0,135.14893617021278,2.2791887110371816,0,0.0,1.0,7,1423.0,0.0,12,2538.0,0.0,0,0.0,0.9287926704180002,1,229.0,0.549567546469415,17,2160.0,0.0,6,1705.0,0.0,43,8055.0
57970.0,74,13069.0,137.56842105263158,2.484046184254712,0,0.0,1.0,7,1458.0,0.0,12,2598.0,0.0,0,0.0,0.966313717365437,1,234.0,0.6265120828217657,17,2245.0,0.0,6,1735.0,0.13170032868140225,43,8270.0
57975.0,73,13434.0,138.49484536082474,2.244548272621945,0,0.0,0.9266433549535759,7,1493.0,0.1240189167531608,12,2658.0,0.0,0,0.0,0.9496929532042816,1,239.0,0.445773606130137,17,2330.0,0.0,6,1765.0,0.0,43,8485.0
57980.0,77,13814.0,143.89583333333334,2.009944120160385,0,0.0,0.7929408188978966,7,1528.0,0.21245185764373045,12,2718.0,0.0,0,0.0,0.9574810849073376,1,244.0,0.5504416818960883,17,2415.0,0.0,6,1795.0,0.0,43,8700.0
57985.0,79,14204.0,140.63366336633663,2.13588500908287,0,0.0,0.9555911971232751,7,1563.0,0.11858973933749217,12,2778.0,0.0,0,0.0,0.8405358631576272,1,249.0,0.46918370056120656,17,2500.0,0.0,6,1825.0,0.0,43,8915.0
57990.0,76,14555.0,142.69607843137254,2.4085979309666565,0,0.0,0.91403551735657,7,1598.0,0.12166757397123885,12,2838.0,0.07569488131057935,0,0.0,0.9168930966043298,1,254.0,0.0,17,2585.0,0.0,6,1855.0,0.0,43,9130.0
57995.0,78,14936.0,149.36,2.380034153214976,0,0.0,0.37057142668205567,7,1633.0,0.11706425426504287,12,2898.0,0.0,0,0.0,0.9251518655217409,1,259.0,0.0,17,2670.0,0.0,6,1885.0,0.0,43,9345.0
58000.0,80,15331.0,158.05154639175257,2.095378137232729,1,3.0,0.7123367710524162,7,1668.0,0.21809816846898492,12,2958.0,0.0,0,0.0,1.0,1,264.0,0.0,17,2755.0,0.055048970370560064,6,1915.0,0.0,44,9563.0
58005.0,82,15737.0,162.23711340206185,1.6931705416193723,2,9.0,0.09578110178598942,7,1703.0,0.11974401715601246,12,3018.0,0.0,0,0.0,0.9975810319405245,1,269.0,0.0,17,2840.0,0.0,6,1945.0,0.0,45,9784.0
58010.0,84,16154.0,168.27083333333334,1.3636728101362057,4,26.0,0.027174514373733638,7,1738.0,0.0,12,3078.0,0.0,0,0.0,0.9687371235045069,1,274.0,0.6212581897632521,17,2925.0,0.0,6,1975.0,0.0,47,10016.0
58015.0,80,16528.0,168.6530612244898,1.5011569579138997,0,16.0,0.2029782039505722,7,1773.0,0.12079192065171428,12,3138.0,0.0,0,0.0,0.935562177931129,1,279.0,0.6470231054261922,17,3010.0,0.0,6,2005.0,0.0,43,10221.0
58020.0,84,16933.0,169.33,1.8566312806671572,1,10.0,0.004224061787065786,7,1808.0,0.12104915700534065,12,3198.0,0.13887009758206412,0,0.0,0.9953958374629126,1,284.0,0.4620151853655302,17,3095.0,0.0,6,2035.0,0.0,44,10430.0
58025.0,83,17348.0,170.07843137254903,1.641563420836339,2,20.0,0.31095170059499944,7,1843.0,0.0,12,3258.0,0.004186656097509162,0,0.0,1.0,1,289.0,0.46068212638513856,17,3180.0,0.0,6,2065.0,0.0,45,10655.0
58030.0,86,17771.0,170.875,1.94363463394451,2,30.0,0.21353747729219,7,1878.0,0.12291286346152812,13,3322.0,0.0,0,0.0,0.9569609032779657,1,294.0,0.47601942582093804,17,3265.0,0.0,6,2095.0,0.0,46,10884.0
58035.0,83,18168.0,174.69230769230768,2.019250094890359,2,40.0,0.0,7,1913.0,0.0,13,3387.0,0.0,0,0.0,0.8127847728134142,1,299.0,0.0,17,3350.0,0.0,6,2125.0,0.0,46,11114.0
58040.0,83,18547.0,180.06796116504853,2.051362398862459,0,21.0,0.5935115372924404,7,1948.0,0.0,13,3452.0,0.0,0,0.0,0.9267387960272977,1,304.0,0.4593292975063857,17,3435.0,0.0,6,2155.0,0.0,44,11315.0
58045.0,84,18962.0,187.74257425742573,1.7609518215452866,0,0.0,1.0,7,1983.0,0.20900586717825892,13,3517.0,0.0,0,0.0,0.9324755249300546,1,309.0,0.35211844415117577,17,3520.0,0.0,6,2185.0,0.0,44,11514.0
