step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
935.0,1,4.0,0.19047619047619047,10.025944497827115,1,4.0,0.6306130356060895,1,4.0
940.0,0,0.0,0.0,9.373779151236372,0,5.0,0.5922083351365087,0,5.0
945.0,1,5.0,0.25,10.992226047000296,1,5.0,0.7034008873499941,1,5.0
950.0,3,16.0,0.6956521739130435,10.890250440617754,3,16.0,0.6389149573143422,3,16.0
955.0,0,0.0,0.0,9.44915397799679,0,8.0,0.6258932081462635,0,8.0
960.0,3,8.0,0.36363636363636365,9.037210765071858,3,8.0,0.5194179509677804,3,8.0
965.0,1,3.0,0.13636363636363635,7.765421274399433,1,15.0,0.47074760362941875,1,15.0
970.0,0,0.0,0.0,9.243553877826852,0,6.0,0.5282860066310192,0,6.0
975.0,1,5.0,0.21739130434782608,10.551641532459632,1,6.0,0.55711372341767,1,6.0
980.0,3,18.0,0.8181818181818182,10.925354353186824,3,18.0,0.6698833932848055,3,18.0
985.0,0,0.0,0.0,10.2721105333308,0,7.0,0.7660040282322418,0,7.0
990.0,3,5.0,0.23809523809523808,9.787738009327612,3,5.0,0.6434740863388715,3,5.0
995.0,0,0.0,0.0,9.060112395800015,0,7.0,0.5801522059529335,0,7.0
1000.0,2,2.0,0.09090909090909091,9.198394275968527,2,2.0,0.5892397248762242,2,2.0
1005.0,3,6.0,0.25,8.567752114896097,3,9.0,0.576110007275217,3,9.0
1010.0,5,28.0,1.12,8.363416227649575,5,28.0,0.5015107077192867,5,28.0
1015.0,2,8.0,0.32,7.300772201059626,2,35.0,0.43278257873415427,2,35.0
1020.0,2,7.0,0.30434782608695654,8.423038172999,2,17.0,0.4128489566433919,2,17.0
1025.0,5,24.0,1.0909090909090908,9.161703505810356,5,24.0,0.4060421915770108,5,24.0
1030.0,2,3.0,0.13636363636363635,9.117200649301758,2,20.0,0.5628774559155095,2,20.0
1035.0,2,13.0,0.5909090909090909,10.397687153202252,2,13.0,0.7376100008896639,2,13.0
1040.0,0,0.0,0.0,8.920223649743383,0,1.0,0.5665847055232192,0,1.0
1045.0,2,6.0,0.3,9.453929187320412,2,6.0,0.5723836483915457,2,6.0
1050.0,3,21.0,0.9545454545454546,10.610859074092675,3,21.0,0.6630064968116244,3,21.0
1055.0,0,0.0,0.0,10.144944280260397,0,8.0,0.7190256952274445,0,8.0
1060.0,2,5.0,0.2631578947368421,9.68148600422064,2,5.0,0.5547984673312135,2,5.0
1065.0,1,3.0,0.16666666666666666,8.754184205020724,1,7.0,0.5093411894789375,1,7.0
1070.0,2,9.0,0.47368421052631576,10.170927617336828,2,9.0,0.6859832037889496,2,9.0
1075.0,1,3.0,0.15789473684210525,9.246552592529596,1,3.0,0.6140094384662621,1,3.0
1080.0,3,16.0,0.7619047619047619,9.287783337423878,3,16.0,0.5063686123101808,3,16.0
1085.0,1,3.0,0.13636363636363635,9.520405335901636,1,20.0,0.6367206392028919,1,20.0
1090.0,0,0.0,0.0,10.06688949370072,0,3.0,0.6555530483456695,0,3.0
1095.0,3,9.0,0.391304347826087,9.656333683413207,3,9.0,0.5909860170675155,3,9.0
1100.0,1,2.0,0.07692307692307693,9.868842139670383,1,8.0,0.7243965434030757,1,8.0
1105.0,3,11.0,0.44,9.643681634763395,3,11.0,0.5776988991545716,3,11.0
1110.0,3,4.0,0.18181818181818182,7.147227605974163,3,14.0,0.37340909605991995,3,14.0
1115.0,3,15.0,0.6818181818181818,9.01553839984466,3,17.0,0.5338013011966208,3,17.0
1120.0,4,32.0,1.391304347826087,10.632546620122637,4,32.0,0.6202295672834446,4,32.0
1125.0,0,0.0,0.0,8.78856243023936,0,16.0,0.5014714264705122,0,16.0
1130.0,3,7.0,0.3181818181818182,9.647750631966225,3,7.0,0.5897707683001016,3,7.0
1135.0,1,4.0,0.17391304347826086,9.71815261127751,1,11.0,0.6002340739419432,1,11.0
1140.0,1,9.0,0.42857142857142855,10.09470110156756,1,9.0,0.5985540607197755,1,9.0
1145.0,4,20.0,1.0526315789473684,9.45091271641623,4,20.0,0.2942326383756582,4,20.0
1150.0,1,1.0,0.05555555555555555,8.35481816593056,1,11.0,0.4270476745775561,1,11.0
1155.0,2,11.0,0.6470588235294118,10.776473852992742,2,11.0,0.736733311904883,2,11.0
1160.0,0,0.0,0.0,11.166203126867941,0,0.0,0.7906485577025939,0,0.0
1165.0,1,4.0,0.2222222222222222,10.990893654162354,1,4.0,0.736424041101964,1,4.0
1170.0,3,16.0,0.8,9.685935940203333,3,16.0,0.5273153982507824,3,16.0
1175.0,0,0.0,0.0,9.227308775897562,0,14.0,0.5990380317675846,0,14.0
1180.0,2,7.0,0.35,10.69030717411138,2,7.0,0.6721513821974028,2,7.0
1185.0,1,2.0,0.09090909090909091,9.399817444135842,1,2.0,0.5822778282922865,1,2.0
1190.0,3,17.0,0.7083333333333334,10.7816533168188,3,17.0,0.7463771118881223,3,17.0
1195.0,0,0.0,0.0,9.054003874352553,0,8.0,0.5983506319217745,0,8.0
1200.0,3,7.0,0.3333333333333333,9.18625003207442,3,7.0,0.4518568876762167,3,7.0
1205.0,3,4.0,0.21052631578947367,7.87701783497393,3,14.0,0.25968234527494743,3,14.0
1210.0,2,12.0,0.75,10.340232332886746,2,14.0,0.5995411733800898,2,14.0
1215.0,1,4.0,0.2222222222222222,9.9045718979557,1,4.0,0.6501829696726908,1,4.0
1220.0,3,19.0,1.2666666666666666,8.265074997946668,3,19.0,0.3932758043091429,3,19.0
1225.0,1,1.0,0.07142857142857142,6.317576284266282,1,13.0,0.36931368790068736,1,13.0
1230.0,1,5.0,0.3125,10.798241397933321,1,6.0,0.7648358506933726,1,6.0
1235.0,2,11.0,0.55,11.503310706062267,2,11.0,0.7854832003153779,2,11.0
1240.0,1,1.0,0.05,10.130191280372838,1,1.0,0.7162486979401739,1,1.0
1245.0,4,16.0,0.8,9.499491429428145,4,16.0,0.6159546826873734,4,16.0
1250.0,3,5.0,0.20833333333333334,8.444348862348859,3,23.0,0.5708043541211364,3,23.0
1255.0,2,11.0,0.5238095238095238,7.749649481071809,2,13.0,0.5072299970550793,2,13.0
1260.0,3,8.0,0.3333333333333333,6.422541663083019,3,12.0,0.3443525794839125,3,12.0
1265.0,9,41.0,1.7083333333333333,7.023310168317785,9,43.0,0.3338986421871484,9,43.0
1270.0,6,29.0,1.0740740740740742,7.574323896585246,6,61.0,0.45590230925852665,6,61.0
1275.0,0,0.0,0.0,7.832033128581245,0,28.0,0.44873059451718655,0,28.0
1280.0,3,10.0,0.35714285714285715,9.52537666419238,3,10.0,0.578259095009189,3,10.0
1285.0,3,25.0,0.9259259259259259,10.306647646687676,3,25.0,0.6551866346484884,3,25.0
1290.0,1,1.0,0.037037037037037035,8.33586007362596,1,11.0,0.5087692810179163,1,11.0
1295.0,6,25.0,0.9615384615384616,9.190870001570074,6,25.0,0.4836567888126041,6,25.0
1300.0,1,5.0,0.2,8.869156369022448,1,33.0,0.5459272253438724,1,33.0
1305.0,1,3.0,0.13043478260869565,8.76996356907319,1,8.0,0.536368739176637,1,8.0
1310.0,4,18.0,0.72,9.253583885452752,4,18.0,0.5140989590096544,4,18.0
1315.0,2,2.0,0.06896551724137931,8.996168433312388,2,18.0,0.6023050243310926,2,18.0
1320.0,5,20.0,0.7407407407407407,9.565929455537818,5,20.0,0.6247370151968968,5,20.0
1325.0,3,4.0,0.14814814814814814,7.133471767399403,3,25.0,0.38900529078027846,3,25.0
1330.0,2,3.0,0.1111111111111111,8.193251408908516,2,10.0,0.4534233676987935,2,10.0
1335.0,2,13.0,0.48148148148148145,9.907508489018541,2,13.0,0.6139434888152064,2,13.0
1340.0,3,5.0,0.18518518518518517,8.163297829031055,3,5.0,0.5049506595659663,3,5.0
1345.0,9,35.0,1.3461538461538463,7.981064851657387,9,35.0,0.39016318871098055,9,35.0
1350.0,6,22.0,0.9166666666666666,6.239099514634972,6,53.0,0.2794497023892446,6,53.0
1355.0,2,7.0,0.28,8.924964850212916,2,29.0,0.534586396093644,2,29.0
1360.0,3,18.0,0.6666666666666666,10.38544673592372,3,20.0,0.6250286940384718,3,20.0
1365.0,2,4.0,0.14814814814814814,8.433579081235393,2,13.0,0.4927878955414824,2,13.0
1370.0,6,27.0,1.08,7.445252317998483,6,29.0,0.34201234196055075,6,29.0
1375.0,6,19.0,0.7307692307692307,6.648697252820369,6,46.0,0.3570109961794851,6,46.0
1380.0,0,0.0,0.0,9.216862013911467,0,26.0,0.5573872488548786,0,26.0
1385.0,1,3.0,0.10714285714285714,9.390244286298989,1,9.0,0.5194452902849271,1,9.0
1390.0,2,12.0,0.4,10.085228952444561,2,12.0,0.6008043670526149,2,12.0
1395.0,4,28.0,0.9655172413793104,10.58285762682776,4,28.0,0.6568083288673294,4,28.0
1400.0,1,1.0,0.03571428571428571,9.809967012244616,1,13.0,0.6586152220539474,1,13.0
1405.0,5,15.0,0.5769230769230769,9.394123034340726,5,15.0,0.5355112423733794,5,15.0
1410.0,2,4.0,0.15384615384615385,8.59621559891924,2,19.0,0.5133001085765879,2,19.0
1415.0,2,5.0,0.19230769230769232,9.373345006955617,2,10.0,0.5868137444548444,2,10.0
1420.0,5,24.0,0.8888888888888888,9.595941400509346,5,24.0,0.5590498850648773,5,24.0
1425.0,2,4.0,0.14814814814814814,8.091369519777716,2,25.0,0.47755701580333676,2,25.0
1430.0,4,17.0,0.7083333333333334,7.211506499601961,4,20.0,0.34017922387482613,4,20.0
1435.0,4,9.0,0.4090909090909091,6.697349031646101,4,31.0,0.29089243473070125,4,31.0
1440.0,2,10.0,0.45454545454545453,9.073998052077501,2,20.0,0.4853484061811651,2,20.0
1445.0,2,20.0,1.0526315789473684,10.768631862609487,2,23.0,0.6244523188177526,2,23.0
